frame,timestamp_ns,w_px,h_px,conf,cx,cy,Z_est_m
0,1783399590516538152,,,,,,
60,1783399592504932229,,,,,,
120,1783399594504830429,,,,,,
180,1783399596500432519,,,,,,
240,1783399598500434898,,,,,,
300,1783399600499671023,,,,,,
360,1783399602502201526,,,,,,
420,1783399604501439745,,,,,,
480,1783399606511382470,,,,,,
540,1783399608501784516,,,,,,
600,1783399610501911651,,,,,,
660,1783399612501904050,28.3,139.9,0.498,102.1,189.0,6.57
720,1783399614500644923,31.1,139.5,0.544,44.1,196.5,5.98
780,1783399616512504384,,,,,,
840,1783399618510930012,64.0,227.1,0.585,334.9,159.6,2.90
900,1783399620500416451,82.2,268.1,0.385,354.7,154.4,2.26
960,1783399622502339383,72.6,226.5,0.450,340.4,157.7,2.56
1020,1783399624512914855,80.3,262.3,0.610,354.2,159.4,2.31
1080,1783399626502229812,100.6,265.9,0.673,355.4,181.3,1.85
1140,1783399628510542175,131.3,304.5,0.804,357.9,207.7,1.42
1200,1783399630511865106,103.2,278.6,0.378,305.3,197.7,1.80
1260,1783399632502290508,98.2,276.5,0.363,336.5,198.2,1.89
1320,1783399634513274896,,,,,,
1380,1783399636501367142,25.2,87.0,0.267,187.5,192.0,7.39
1440,1783399638502405426,103.2,254.3,0.542,357.6,189.8,1.80
1500,1783399640502737450,86.4,256.6,0.701,300.4,181.7,2.15
1560,1783399642502565456,77.1,255.5,0.785,373.3,185.8,2.41
1620,1783399644502521376,88.0,258.9,0.800,361.7,180.2,2.11
1680,1783399646502509185,94.0,264.7,0.721,366.3,197.5,1.98
1740,1783399648508236303,98.8,296.4,0.757,296.2,210.5,1.88
1800,1783399650507448415,92.6,303.4,0.700,244.9,200.0,2.01
1860,1783399652498877601,87.3,271.2,0.811,224.0,179.9,2.13
1920,1783399654498770831,74.7,222.3,0.793,253.4,177.9,2.49
1980,1783399656498927283,87.8,256.3,0.809,297.0,187.1,2.12
2040,1783399658508988991,89.8,280.0,0.793,321.0,186.6,2.07
2100,1783399660508852287,105.3,301.7,0.732,291.4,208.0,1.76
2160,1783399662497028403,134.5,303.9,0.810,265.2,208.0,1.38
2220,1783399664499133470,145.7,301.2,0.837,310.8,209.1,1.28
2280,1783399666498960857,124.5,292.9,0.789,532.7,212.0,1.49
2340,1783399668509146103,,,,,,
2400,1783399670508740750,62.0,247.7,0.813,347.4,194.1,3.00
2460,1783399672499088295,64.9,239.3,0.727,359.5,178.5,2.86
2520,1783399674499226731,65.7,258.5,0.820,351.9,185.7,2.83
2580,1783399676499162842,91.3,297.3,0.793,341.5,199.7,2.04
2640,1783399678498315418,133.0,313.3,0.822,325.9,203.4,1.40
2700,1783399680499540208,132.3,305.6,0.830,325.9,207.2,1.41
2760,1783399682499171132,115.3,313.8,0.829,104.3,202.6,1.61
2820,1783399684509071487,28.9,307.8,0.414,14.6,206.1,6.44
2880,1783399686509249739,,,,,,
2940,1783399688498538343,,,,,,
3000,1783399690498522748,,,,,,
3060,1783399692498341929,,,,,,
3120,1783399694498716071,,,,,,
3180,1783399696511082353,54.5,304.8,0.817,27.3,207.6,3.41
3240,1783399698499849226,55.6,240.8,0.762,93.5,184.1,3.34
3300,1783399700496253861,35.5,171.4,0.747,141.4,181.4,5.23
3360,1783399702505906056,30.1,187.2,0.592,166.4,153.9,6.18
3420,1783399704494661259,,,,,,
3480,1783399706496047992,52.3,239.3,0.673,439.6,183.7,3.55
3540,1783399708496142234,,,,,,
3600,1783399710495920727,,,,,,
3660,1783399712505757979,24.8,89.4,0.571,176.9,115.9,7.51
3720,1783399714494674766,23.8,83.8,0.293,177.8,125.5,7.80
3780,1783399716495269708,,,,,,
3840,1783399718499416859,,,,,,
3900,1783399720495367021,,,,,,
3960,1783399722506112850,,,,,,
4020,1783399724495163572,,,,,,
4080,1783399726495520994,,,,,,
4140,1783399728495152690,,,,,,
4200,1783399730495712916,,,,,,
4260,1783399732495705636,,,,,,
4320,1783399734494952082,,,,,,
4380,1783399736495552687,,,,,,
4440,1783399738495922953,,,,,,
4500,1783399740496023468,,,,,,
4560,1783399742495273048,,,,,,
