frame,timestamp_ns,w_px,z_rel,z_m_assumed,ttc_s,closing
0,1783399590516538152,,,,,
5,1783399590668775423,,,,,
10,1783399590836945047,,,,,
15,1783399591004144881,,,,,
20,1783399591169038240,,,,,
25,1783399591336420099,,,,,
30,1783399591504986215,,,,,
35,1783399591669034571,,,,,
40,1783399591836943891,,,,,
45,1783399592004782247,,,,,
50,1783399592168786950,,,,,
55,1783399592336946564,,,,,
60,1783399592504932229,,,,,
65,1783399592668965386,,,,,
70,1783399592837001387,,,,,
75,1783399593004961092,,,,,
80,1783399593167313461,,,,,
85,1783399593336675076,,,,,
90,1783399593504782872,,,,,
95,1783399593668932700,,,,,
100,1783399593836623254,,,,,
105,1783399594004771418,,,,,
110,1783399594168797081,,,,,
115,1783399594336876313,,,,,
120,1783399594504830429,,,,,
125,1783399594668865600,,,,,
130,1783399594836775752,,,,,
135,1783399595001113156,,,,,
140,1783399595168876920,,,,,
145,1783399595336777473,,,,,
150,1783399595500714137,,,,,
155,1783399595667981600,,,,,
160,1783399595836780357,,,,,
165,1783399596000244484,,,,,
170,1783399596168591153,,,,,
175,1783399596336815952,,,,,
180,1783399596500432519,,,,,
185,1783399596668334975,,,,,
190,1783399596836752449,,,,,
195,1783399597000701929,,,,,
200,1783399597168650994,,,,,
205,1783399597346746808,,,,,
210,1783399597500903240,,,,,
215,1783399597668323713,,,,,
220,1783399597836258191,,,,,
225,1783399598000512899,,,,,
230,1783399598169996135,,,,,
235,1783399598336834913,,,,,
240,1783399598500434898,,,,,
245,1783399598668426344,,,,,
250,1783399598836955630,,,,,
255,1783399599000939394,,,,,
260,1783399599168599351,,,,,
265,1783399599336868363,,,,,
270,1783399599500890800,,,,,
275,1783399599668623715,,,,,
280,1783399599836961679,,,,,
285,1783399600001400064,,,,,
290,1783399600168618113,,,,,
295,1783399600336780733,,,,,
300,1783399600499671023,,,,,
305,1783399600668872554,,,,,
310,1783399600837149472,50.8,1.000,3.81,,
315,1783399601000861159,42.7,1.190,4.53,,
320,1783399601168793142,,,,,
325,1783399601336597934,,,,,
330,1783399601511894267,,,,,
335,1783399601670164602,,,,,
340,1783399601837802036,,,,,
345,1783399602002478774,,,,,
350,1783399602169651146,,,,,
355,1783399602336899793,,,,,
360,1783399602502201526,,,,,
365,1783399602669868927,,,,,
370,1783399602836910140,,,,,
375,1783399603012174072,,,,,
380,1783399603169886238,,,,,
385,1783399603336938453,,,,,
390,1783399603500790356,,,,,
395,1783399603669874144,,,,,
400,1783399603837776982,,,,,
405,1783399604001721300,,,,,
410,1783399604169019832,,,,,
415,1783399604337732497,,,,,
420,1783399604501439745,,,,,
425,1783399604669811553,,,,,
430,1783399604837848505,,,,,
435,1783399605001721528,,,,,
440,1783399605169727642,,,,,
445,1783399605348020508,,,,,
450,1783399605500625266,,,,,
455,1783399605668715048,,,,,
460,1783399605848008715,,,,,
465,1783399606011724470,,,,,
470,1783399606179464820,,,,,
475,1783399606348135343,,,,,
480,1783399606511382470,,,,,
485,1783399606670243796,,,,,
490,1783399606847675019,,,,,
495,1783399607011636840,,,,,
500,1783399607170333835,,,,,
505,1783399607337504925,,,,,
510,1783399607501691332,,,,,
515,1783399607669411985,,,,,
520,1783399607837778402,,,,,
525,1783399608011384750,,,,,
530,1783399608169634716,,,,,
535,1783399608337676377,,,,,
540,1783399608501784516,,,,,
545,1783399608669285231,,,,,
550,1783399608837235910,,,,,
555,1783399609001797058,,,,,
560,1783399609169069490,,,,,
565,1783399609337949712,,,,,
570,1783399609511801756,,,,,
575,1783399609680459275,,,,,
580,1783399609837832198,,,,,
585,1783399610001462911,,,,,
590,1783399610169151863,,,,,
595,1783399610337868475,,,,,
600,1783399610501911651,,,,,
605,1783399610669453414,,,,,
610,1783399610836936055,,,,,
615,1783399611001526619,,,,,
620,1783399611180018985,,,,,
625,1783399611338021322,,,,,
630,1783399611501691581,28.4,1.000,6.81,,
635,1783399611670070192,31.6,0.900,6.12,,
640,1783399611832968035,29.4,0.966,6.57,9.33,True
645,1783399612012623777,30.7,0.925,6.30,10.88,True
650,1783399612169918241,,,,,
655,1783399612333936169,27.7,1.026,6.99,,False
660,1783399612501904050,28.3,1.005,6.84,,False
665,1783399612669129712,32.7,0.868,5.91,59.11,True
670,1783399612833972535,,,,,
675,1783399613001326572,,,,,
680,1783399613169045441,29.4,0.967,6.58,,False
685,1783399613333978475,34.0,0.837,5.69,17.27,True
690,1783399613501694829,31.7,0.896,6.10,15.36,True
695,1783399613669968450,31.9,0.892,6.07,11.14,True
700,1783399613834061250,32.2,0.883,6.01,17.97,True
705,1783399614001913632,31.3,0.909,6.19,,False
710,1783399614169976073,33.3,0.853,5.81,23.25,True
715,1783399614333974283,,,,,
720,1783399614500644923,31.1,0.914,6.22,,False
725,1783399614670064137,38.9,0.730,4.97,10.05,True
730,1783399614833563161,,,,,
735,1783399615001943575,,,,,
740,1783399615179413060,35.0,0.812,5.52,11.24,True
745,1783399615343883837,,,,,
750,1783399615500949947,,,,,
755,1783399615670274131,,,,,
760,1783399615833573777,,,,,
765,1783399616002290649,,,,,
770,1783399616169153434,,,,,
775,1783399616343771882,,,,,
780,1783399616512504384,,,,,
785,1783399616680569700,,,,,
790,1783399616842814675,,,,,
795,1783399617011440334,28.9,1.000,6.69,,
800,1783399617168126724,,,,,
805,1783399617332111169,,,,,
810,1783399617511356423,,,,,
815,1783399617680565849,,,,,
820,1783399617843615872,65.0,0.445,2.98,,
825,1783399618011715623,,,,,
830,1783399618179479096,,,,,
835,1783399618344234574,72.4,0.399,2.67,2.15,True
840,1783399618510930012,64.0,0.451,3.02,2.45,True
845,1783399618680413217,78.1,0.370,2.48,2.95,True
850,1783399618843499278,,,,,
855,1783399619012448099,,,,,
860,1783399619180337572,,,,,
865,1783399619343608944,,,,,
870,1783399619512267716,60.7,0.476,3.19,4.58,True
875,1783399619670071516,,,,,
880,1783399619832562367,74.1,0.390,2.61,6.45,True
885,1783399620011366674,80.7,0.358,2.40,23.05,True
890,1783399620169009119,,,,,
895,1783399620332624504,76.7,0.377,2.52,24.72,True
900,1783399620500416451,82.2,0.352,2.35,14.49,True
905,1783399620680374466,75.0,0.386,2.58,28.25,True
910,1783399620834280253,72.4,0.399,2.67,9.99,True
915,1783399621002299672,68.7,0.421,2.82,,False
920,1783399621170537655,66.3,0.436,2.92,,False
925,1783399621334275192,76.3,0.379,2.53,,False
930,1783399621501995464,61.3,0.472,3.16,,False
935,1783399621670326825,70.0,0.413,2.77,,False
940,1783399621834305689,63.6,0.455,3.04,,False
945,1783399622001856759,65.5,0.441,2.95,,False
950,1783399622170162360,68.0,0.425,2.84,,False
955,1783399622333369611,54.7,0.528,3.54,,False
960,1783399622502339383,72.6,0.399,2.67,42.02,True
965,1783399622670283969,71.0,0.407,2.72,31.40,True
970,1783399622833612209,76.9,0.376,2.52,6.47,True
975,1783399623001871312,74.0,0.391,2.62,5.79,True
980,1783399623170162306,78.2,0.370,2.47,4.97,True
985,1783399623334229307,32.1,0.901,6.03,,False
990,1783399623502285175,32.3,0.896,6.00,,False
995,1783399623669383487,34.2,0.846,5.66,,False
1000,1783399623833781255,25.8,1.123,7.51,,False
1005,1783399624002413516,33.8,0.856,5.73,,False
1010,1783399624170098431,28.6,1.012,6.77,,False
1015,1783399624333801481,29.7,0.973,6.51,,False
1020,1783399624512914855,27.0,1.070,7.16,,False
1025,1783399624669357854,25.7,1.124,7.52,,False
1030,1783399624833307513,21.6,1.340,8.97,,False
1035,1783399625002117843,18.9,1.528,10.23,,False
1040,1783399625168704965,20.0,1.446,9.68,,False
1045,1783399625333865791,21.4,1.354,9.06,,False
1050,1783399625502370782,18.6,1.556,10.41,,False
1055,1783399625670362959,89.5,0.323,2.16,2.22,True
1060,1783399625834007689,93.0,0.311,2.08,1.23,True
1065,1783399626001385641,100.4,0.288,1.93,1.02,True
1070,1783399626169376898,101.2,0.286,1.91,0.99,True
1075,1783399626333984334,97.1,0.298,1.99,1.12,True
1080,1783399626502229812,100.6,0.287,1.92,1.74,True
1085,1783399626669203978,109.5,0.264,1.77,7.11,True
1090,1783399626843718078,111.5,0.259,1.74,7.17,True
1095,1783399627002344818,117.2,0.247,1.65,6.60,True
1100,1783399627170013672,111.0,0.261,1.74,6.45,True
1105,1783399627334252780,126.3,0.229,1.53,5.08,True
1110,1783399627511628167,119.2,0.243,1.62,6.30,True
1115,1783399627670138097,116.4,0.248,1.66,12.06,True
1120,1783399627833368581,122.8,0.235,1.58,14.07,True
1125,1783399628012097977,124.2,0.233,1.56,16.79,True
1130,1783399628169894213,130.3,0.222,1.48,10.66,True
1135,1783399628332069095,132.1,0.219,1.46,13.07,True
1140,1783399628510542175,131.3,0.220,1.47,8.14,True
1145,1783399628669909581,131.7,0.220,1.47,8.71,True
1150,1783399628833805818,128.6,0.225,1.50,17.97,True
1155,1783399629001276436,124.9,0.232,1.55,,False
1160,1783399629169020192,129.8,0.223,1.49,,False
1165,1783399629333879426,128.6,0.225,1.50,,False
1170,1783399629501783126,124.5,0.232,1.55,,False
1175,1783399629676368019,122.6,0.236,1.58,,False
1180,1783399629835473979,122.1,0.237,1.58,,False
1185,1783399630012438095,119.1,0.243,1.62,,False
1190,1783399630166176563,128.8,0.225,1.50,,False
1195,1783399630334507573,120.0,0.241,1.61,,False
1200,1783399630511865106,103.2,0.280,1.87,,False
1205,1783399630676585908,105.1,0.275,1.84,,False
1210,1783399630834437429,95.2,0.304,2.03,,False
1215,1783399631002487205,104.1,0.278,1.86,,False
1220,1783399631166529309,119.3,0.242,1.62,,False
1225,1783399631331783433,100.8,0.287,1.92,,False
1230,1783399631500220985,98.3,0.294,1.97,,True
1235,1783399631664844652,100.9,0.287,1.92,,False
1240,1783399631844536253,98.8,0.293,1.96,,False
1245,1783399632001296374,96.7,0.299,2.00,,False
1250,1783399632165185848,96.4,0.300,2.01,,False
1255,1783399632334382019,102.4,0.282,1.89,,False
1260,1783399632502290508,98.2,0.294,1.97,,True
1265,1783399632666334034,98.3,0.294,1.97,,False
1270,1783399632834558702,90.4,0.320,2.14,,False
1275,1783399633013087197,98.7,0.293,1.96,,False
1280,1783399633166502231,108.7,0.266,1.78,23.71,True
1285,1783399633334488397,102.2,0.283,1.89,23.49,True
1290,1783399633502490262,,,,,
1295,1783399633666495586,103.2,0.280,1.87,13.55,True
1300,1783399633834434663,100.1,0.289,1.93,17.65,True
1305,1783399634001557761,107.0,0.270,1.81,14.06,True
1310,1783399634165927257,105.9,0.273,1.83,42.87,True
1315,1783399634344925933,110.1,0.263,1.76,47.98,True
1320,1783399634513274896,,,,,
1325,1783399634666230249,101.1,0.286,1.91,45.25,True
1330,1783399634845081606,92.6,0.312,2.09,,False
1335,1783399635002297300,,,,,
1340,1783399635166571685,86.8,0.333,2.23,,False
1345,1783399635334505712,95.0,0.304,2.04,,False
1350,1783399635502533296,92.8,0.311,2.08,,False
1355,1783399635677166011,,,,,
1360,1783399635834348753,,,,,
1365,1783399636001436114,116.4,0.248,1.66,56.97,True
1370,1783399636165397144,,,,,
1375,1783399636334128494,110.8,0.261,1.75,9.18,True
1380,1783399636501367142,,,,,
1385,1783399636665931016,128.0,0.226,1.51,6.02,True
1390,1783399636834490440,,,,,
1395,1783399637001414210,,,,,
1400,1783399637165589807,,,,,
1405,1783399637334411327,113.3,0.255,1.71,7.52,True
1410,1783399637502426679,109.2,0.265,1.77,13.06,True
1415,1783399637665318912,111.2,0.260,1.74,25.55,True
1420,1783399637833938740,100.7,0.287,1.92,,False
1425,1783399638012007934,104.0,0.278,1.86,,False
1430,1783399638176673219,101.2,0.286,1.91,,False
1435,1783399638344397478,85.6,0.338,2.26,,False
1440,1783399638502405426,103.2,0.280,1.88,,False
1445,1783399638665511945,101.1,0.286,1.91,,False
1450,1783399638834101906,95.3,0.303,2.03,,False
1455,1783399639002500114,90.7,0.319,2.13,,False
1460,1783399639166426929,96.8,0.299,2.00,,False
1465,1783399639333889381,87.0,0.332,2.22,,False
1470,1783399639502054397,90.6,0.319,2.14,,False
1475,1783399639665902282,91.9,0.315,2.11,,False
1480,1783399639844859480,81.0,0.357,2.39,,False
1485,1783399640002129087,82.5,0.351,2.35,,False
1490,1783399640166487070,84.4,0.342,2.29,,False
1495,1783399640334068017,83.0,0.349,2.33,,False
1500,1783399640502737450,86.4,0.335,2.24,,False
1505,1783399640666395114,82.3,0.351,2.35,,False
1510,1783399640834364098,83.7,0.346,2.31,41.48,True
1515,1783399641001980141,83.2,0.348,2.33,,False
1520,1783399641176969422,83.0,0.349,2.33,,False
1525,1783399641334075178,82.1,0.352,2.36,,False
1530,1783399641502607490,85.8,0.337,2.25,,False
1535,1783399641666396253,91.2,0.317,2.12,14.17,True
1540,1783399641833989344,88.9,0.325,2.18,11.97,True
1545,1783399642002660970,87.1,0.332,2.22,12.45,True
1550,1783399642166591612,83.6,0.346,2.31,26.17,True
1555,1783399642334116312,74.4,0.389,2.60,,False
1560,1783399642502565456,77.1,0.375,2.51,,False
1565,1783399642666356605,76.0,0.381,2.55,,False
1570,1783399642834399709,93.1,0.311,2.08,,False
1575,1783399643002728013,88.0,0.328,2.20,17.50,True
1580,1783399643165597853,84.3,0.343,2.29,8.67,True
1585,1783399643345073335,82.3,0.352,2.35,7.76,True
1590,1783399643502764341,88.7,0.326,2.18,10.85,True
1595,1783399643666620933,83.3,0.347,2.32,51.93,True
1600,1783399643834675418,80.0,0.361,2.42,,False
1605,1783399644002595849,94.4,0.306,2.05,38.68,True
1610,1783399644165646702,92.3,0.313,2.10,10.92,True
1615,1783399644334530691,88.4,0.327,2.19,11.23,True
1620,1783399644502521376,88.0,0.329,2.20,20.43,True
1625,1783399644666511161,80.8,0.358,2.39,154.40,True
1630,1783399644834731751,83.3,0.347,2.32,,False
1635,1783399645002936552,76.9,0.376,2.52,,False
1640,1783399645166731276,80.8,0.358,2.40,,False
1645,1783399645334661997,89.2,0.324,2.17,,False
1650,1783399645502629417,92.6,0.312,2.09,15.34,True
1655,1783399645677210233,85.6,0.338,2.26,8.96,True
1660,1783399645834772655,82.0,0.353,2.36,15.23,True
1665,1783399646002601082,88.1,0.328,2.20,12.76,True
1670,1783399646167317114,100.5,0.288,1.93,10.15,True
1675,1783399646335244468,97.0,0.298,2.00,10.89,True
1680,1783399646502509185,94.0,0.308,2.06,9.63,True
1685,1783399646666533335,90.5,0.320,2.14,8.83,True
1690,1783399646834735581,97.7,0.296,1.98,10.05,True
1695,1783399646997785793,85.0,0.340,2.28,,False
1700,1783399647166681755,86.1,0.336,2.25,,False
1705,1783399647335351849,97.4,0.297,1.99,,False
1710,1783399647508174108,104.7,0.276,1.85,13.97,True
1715,1783399647666581844,94.7,0.305,2.04,11.13,True
1720,1783399647835298145,104.0,0.278,1.86,8.44,True
1725,1783399648008426605,103.2,0.280,1.87,5.50,True
1730,1783399648166158570,109.7,0.264,1.76,6.25,True
1735,1783399648344242220,106.8,0.271,1.81,10.72,True
1740,1783399648508236303,98.8,0.293,1.96,38.63,True
1745,1783399648665643010,95.1,0.304,2.03,,False
1750,1783399648844122311,108.3,0.267,1.79,,False
1755,1783399649008202067,106.9,0.271,1.81,,False
1760,1783399649176778062,112.2,0.258,1.72,29.76,True
1765,1783399649344278076,97.7,0.296,1.98,37.80,True
1770,1783399649508211223,105.4,0.274,1.84,16.72,True
1775,1783399649666133428,99.9,0.289,1.94,,True
1780,1783399649833614687,100.5,0.288,1.92,,False
1785,1783399649997385857,93.6,0.309,2.07,,False
1790,1783399650166583280,75.9,0.381,2.55,,False
1795,1783399650333623092,99.8,0.290,1.94,,False
1800,1783399650507448415,92.6,0.312,2.09,,False
1805,1783399650665695145,90.1,0.321,2.15,,False
1810,1783399650844624370,87.8,0.329,2.20,,False
1815,1783399650998297364,84.3,0.343,2.30,,False
1820,1783399651166339567,79.6,0.363,2.43,,False
