frame,timestamp_ns,raw_z,z_filt,w_px,conf
0,1783399748977033836,,,,
5,1783399749128711284,,,,
10,1783399749296221567,,,,
15,1783399749464090590,,,,
20,1783399749628042883,,,,
25,1783399749797094309,,,,
30,1783399749963613342,,,,
35,1783399750128914745,,,,
40,1783399750296253933,,,,
45,1783399750464245199,,,,
50,1783399750628078687,,,,
55,1783399750796122693,,,,
60,1783399750964010241,,,,
65,1783399751127756483,,,,
70,1783399751296056595,,,,
75,1783399751463395042,,,,
80,1783399751628073593,,,,
85,1783399751796009514,,,,
90,1783399751963053442,,,,
95,1783399752127692128,,,,
100,1783399752295089377,,,,
105,1783399752463145265,,,,
110,1783399752637186256,,,,
115,1783399752796202676,,,,
120,1783399752964077141,,,,
125,1783399753128193355,,,,
130,1783399753296230117,,,,
135,1783399753464050278,,,,
140,1783399753628012991,,,,
145,1783399753795384331,,,,
150,1783399753962983212,7.359,,26.3,0.369
155,1783399754127668846,,,,
160,1783399754295439503,,,,
165,1783399754463002045,,,,
170,1783399754627989843,,,,
175,1783399754797879819,,,,
180,1783399754962990812,,,,
185,1783399755127594811,,,,
190,1783399755296666957,5.242,6.301,36.9,0.396
195,1783399755460081101,,6.301,,
200,1783399755628134294,,6.301,,
205,1783399755795950007,,6.301,,
210,1783399755961507095,,6.301,,
215,1783399756128784937,,6.301,,
220,1783399756297163858,,6.301,,
225,1783399756470770376,,6.301,,
230,1783399756628497832,,,,
235,1783399756796212332,,,,
240,1783399756960978800,,,,
245,1783399757129654003,,,,
250,1783399757295230768,,,,
255,1783399757461499475,,,,
260,1783399757629005892,,,,
265,1783399757806840539,,,,
270,1783399757970637177,,,,
275,1783399758128566185,,,,
280,1783399758295919169,,,,
285,1783399758460810575,,,,
290,1783399758628454762,,,,
295,1783399758797063238,,,,
300,1783399758960521525,,,,
305,1783399759128650601,,,,
310,1783399759297049901,,,,
315,1783399759461235076,,,,
320,1783399759628668424,,,,
325,1783399759797258285,,,,
330,1783399759961318132,,,,
335,1783399760129275894,,,,
340,1783399760297217044,,,,
345,1783399760461272163,,,,
350,1783399760629243411,,,,
355,1783399760797336991,,,,
360,1783399760962001736,,,,
365,1783399761129966482,,,,
370,1783399761297400088,,,,
375,1783399761461228968,,,,
380,1783399761629222588,,,,
385,1783399761797265772,,,,
390,1783399761970276339,,,,
395,1783399762128671531,,,,
400,1783399762297258166,,,,
405,1783399762461259733,,,,
410,1783399762629316303,,,,
415,1783399762807127938,,,,
420,1783399762960291506,,,,
425,1783399763129370365,,,,
430,1783399763297280847,,,,
435,1783399763461230926,,,,
440,1783399763629154694,,,,
445,1783399763807047302,,,,
450,1783399763970898975,,,,
455,1783399764128234136,,,,
460,1783399764297014819,,,,
465,1783399764460980348,,,,
470,1783399764628571995,,,,
475,1783399764797334815,,,,
480,1783399764971140910,,,,
485,1783399765138476642,,,,
490,1783399765296220849,,,,
495,1783399765461661666,,,,
500,1783399765638387942,7.163,,27.0,0.493
505,1783399765806923140,7.651,7.407,25.3,0.629
510,1783399765970387588,7.502,7.502,25.8,0.644
515,1783399766139307545,8.019,7.577,24.1,0.559
520,1783399766296631946,,7.577,,
525,1783399766470974891,,7.577,,
530,1783399766638598108,3.156,7.502,61.3,0.372
535,1783399766795521468,3.162,7.502,61.2,0.556
540,1783399766959844195,6.453,6.453,30.0,0.545
545,1783399767127535131,3.341,3.341,57.9,0.667
550,1783399767306641913,6.621,3.341,29.2,0.656
555,1783399767470560502,6.773,6.453,28.6,0.601
560,1783399767638861576,2.817,6.453,68.7,0.413
565,1783399767807004859,3.078,3.341,62.9,0.503
570,1783399767970980107,3.064,3.078,63.1,0.801
575,1783399768138729735,3.092,3.078,62.6,0.759
580,1783399768307326278,6.131,3.078,31.6,0.383
585,1783399768470985296,2.950,3.078,65.6,0.705
590,1783399768629403902,2.866,3.064,67.5,0.692
595,1783399768807636596,2.853,2.950,67.8,0.702
600,1783399768970975938,2.514,2.866,77.0,0.790
605,1783399769139667541,3.368,2.866,57.5,0.456
610,1783399769307072565,2.831,2.853,68.4,0.602
615,1783399769471204990,2.642,2.831,73.2,0.810
620,1783399769638817337,2.882,2.831,67.1,0.799
625,1783399769807638787,2.899,2.882,66.8,0.820
630,1783399769959727156,2.775,2.831,69.7,0.751
635,1783399770138396617,2.788,2.788,69.4,0.791
640,1783399770307026214,2.752,2.788,70.3,0.655
645,1783399770472109273,2.837,2.788,68.2,0.683
650,1783399770638846499,2.866,2.788,67.5,0.808
655,1783399770806981627,2.686,2.788,72.0,0.796
660,1783399770971311537,2.825,2.825,68.5,0.765
665,1783399771138807273,2.606,2.825,74.3,0.814
670,1783399771307057911,2.671,2.686,72.4,0.835
675,1783399771471164317,2.737,2.686,70.7,0.835
680,1783399771638737349,2.516,2.671,76.9,0.835
685,1783399771807720115,2.468,2.606,78.4,0.823
690,1783399771959175013,2.763,2.671,70.0,0.782
695,1783399772138969960,2.489,2.516,77.8,0.815
700,1783399772307432179,2.524,2.516,76.7,0.786
705,1783399772470992159,2.551,2.524,75.8,0.754
