frame,timestamp_ns,raw_z,z_filt,w_px,conf
0,1783400607978442520,2.153,,89.9,0.796
5,1783400608144529743,2.096,2.125,92.3,0.806
10,1783400608308472199,2.058,2.096,94.0,0.807
15,1783400608477303157,2.111,2.104,91.6,0.815
20,1783400608645288191,2.209,2.111,87.6,0.815
25,1783400608808609068,2.148,2.111,90.1,0.820
30,1783400608976508099,2.139,2.139,90.5,0.818
35,1783400609145280717,2.087,2.139,92.7,0.810
40,1783400609308379673,2.106,2.139,91.9,0.799
45,1783400609477363151,2.157,2.139,89.7,0.812
50,1783400609645311855,2.086,2.106,92.8,0.795
55,1783400609808600281,2.155,2.106,89.8,0.817
60,1783400609965242097,2.132,2.132,90.7,0.792
65,1783400610145071840,2.047,2.132,94.5,0.814
70,1783400610308384881,2.005,2.086,96.5,0.801
75,1783400610476383070,1.971,2.047,98.2,0.809
80,1783400610644586559,2.016,2.016,96.0,0.823
85,1783400610808614968,1.852,2.005,104.5,0.796
90,1783400610977826889,2.207,2.005,87.7,0.815
95,1783400611145094441,2.256,2.016,85.8,0.769
100,1783400611308519134,2.305,2.207,83.9,0.791
105,1783400611476734465,1.714,2.207,112.9,0.645
110,1783400611644622335,2.202,2.207,87.9,0.810
115,1783400611808208204,2.253,2.253,85.9,0.810
120,1783400611975627004,2.000,2.202,96.8,0.792
125,1783400612145152671,2.172,2.172,89.1,0.802
130,1783400612308345834,2.147,2.172,90.1,0.816
135,1783400612476621580,2.300,2.172,84.1,0.776
140,1783400612645381864,2.188,2.172,88.5,0.821
145,1783400612808468917,2.158,2.172,89.7,0.830
150,1783400612976971974,2.156,2.158,89.8,0.833
155,1783400613145404627,2.226,2.188,86.9,0.856
160,1783400613308424142,2.266,2.188,85.4,0.837
165,1783400613476569941,2.340,2.226,82.7,0.826
170,1783400613644422022,2.195,2.226,88.2,0.825
175,1783400613808391920,2.250,2.250,86.0,0.820
180,1783400613977109734,2.056,2.250,94.1,0.816
185,1783400614144519066,2.186,2.195,88.5,0.826
190,1783400614308273995,2.233,2.195,86.7,0.824
195,1783400614476785307,2.172,2.186,89.1,0.822
200,1783400614644625505,2.035,2.172,95.1,0.817
205,1783400614808679622,2.067,2.172,93.6,0.814
210,1783400614975849831,2.152,2.152,89.9,0.818
215,1783400615144764679,2.123,2.123,91.2,0.812
220,1783400615308788388,2.199,2.123,88.0,0.802
225,1783400615476458714,2.296,2.152,84.3,0.828
230,1783400615644884884,2.389,2.199,81.0,0.844
235,1783400615808788356,2.401,2.296,80.6,0.855
240,1783400615977577064,2.273,2.296,85.1,0.856
245,1783400616145313117,2.239,2.296,86.4,0.861
